STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/10/2022,76,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/11/2022,79,",,S",70,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/12/2022,79,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/13/2022,75,",,S",68,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/14/2022,80,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/15/2022,85,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/16/2022,,,,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/17/2022,88,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/18/2022,85,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/19/2022,,,72,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/20/2022,91,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/21/2022,91,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/22/2022,88,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/23/2022,82,",,S",69,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/24/2022,83,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/25/2022,87,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/26/2022,87,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/27/2022,87,",,S",71,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/28/2022,90,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/29/2022,91,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/30/2022,91,",,S",70,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,7/31/2022,91,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/1/2022,92,",,S",75,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/2/2022,89,",,S",,
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/3/2022,89,",,S",73,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/4/2022,89,",,S",74,",,S"
IN001080500,"BEGUMPET OBSERVATORY, IN",17.45,78.47,527,8/5/2022,89,",,S",,
